1_absence_3term_nat_reg_la,raw_1_absence_3term_na_2642eb99
1a_absence_3term_school,raw_1a_absence_3term_s_d1b51341
2022-2023_england_ks4final,raw_2022_2023_england__28199246
202324_la_char_data_revised,raw_202324_la_char_dat_34c2fcb1
202324_performance_tables_schools_final,raw_202324_performance_371eb4e5
202324_subject_pupil_level_la_data_revised,raw_202324_subject_pup_2ab324f6
202324_subject_school_all_exam_entriesgrades_final,raw_202324_subject_sch_84751f47
202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_provisional,raw_202425_all_state_f_2d605f2b
202425_performance_tables_schools_provisional,raw_202425_performance_3979aec1
202425_subject_local_authority_pupil_entriesachievements_provisional,raw_202425_subject_loc_9992c36c
202425_subject_school_all_exam_entriesgrades_provisional,raw_202425_subject_sch_a9a9beac
2223_la_char_data_revised,raw_2223_la_char_data__951c641f
2223_subject_pupil_level_la_data_revised,raw_2223_subject_pupil_a6edee97
edubasealldata20251022,raw_edubasealldata2025_4db2d83a
ees_ks4_inst_202223,raw_ees_ks4_inst_20222_cbe11c27
ees_ks4_la_202223,raw_ees_ks4_la_202223_77d7d168
ees_ks4_nat_202223,raw_ees_ks4_nat_202223_6f188ec9
england_ks4underlying_entriesandgrades_2,raw_england_ks4underly_effb560d
exc_nat_region_la,raw_exc_nat_region_la_02f87f3c
exc_school,raw_exc_school_a1c7f527
GIAS,raw_GIAS_8f9c91c0
ks4_dm_ud_202122_inst_rev,raw_ks4_dm_ud_202122_i_d3152640
ks4_dm_ud_202122_la_rev,raw_ks4_dm_ud_202122_l_f2233097
ks4_dm_ud_202122_nat_rev,raw_ks4_dm_ud_202122_n_e9fce4c6
ks4_dm_ud_202223_inst_rev,raw_ks4_dm_ud_202223_i_49ea482a
ks4_dm_ud_202223_la_rev,raw_ks4_dm_ud_202223_l_c3b076dc
ks4_dm_ud_202223_nat_rev,raw_ks4_dm_ud_202223_n_8dfd44c9
workforce_ptrs_2010_2024_sch,raw_workforce_ptrs_201_8b26fc7d
